"id","CHIIKIKBN","CHIIKIKBN_NAME","JUSHOCD","JUSHONAME","CHIIKINAME","5SAI","3SEDAI","YEAR","SEX","POPLATION","RESULT_ESTFLG"
596528,5,"事務所管轄","10","市民課","東京都八王子市万町","45",2,"1980",2,"0",0
596530,5,"事務所管轄","10","市民課","東京都八王子市万町","45",2,"1985",1,"0",0
596532,5,"事務所管轄","10","市民課","東京都八王子市万町","45",2,"1985",2,"0",0
596534,5,"事務所管轄","10","市民課","東京都八王子市万町","45",2,"1990",1,"0",0
596536,5,"事務所管轄","10","市民課","東京都八王子市万町","45",2,"1990",2,"0",0
596538,5,"事務所管轄","10","市民課","東京都八王子市万町","45",2,"1995",1,"0",0
596540,5,"事務所管轄","10","市民課","東京都八王子市万町","45",2,"1995",2,"0",0
596542,5,"事務所管轄","10","市民課","東京都八王子市万町","45",2,"2000",1,"2504",0
596544,5,"事務所管轄","10","市民課","東京都八王子市万町","45",2,"2000",2,"2822",0
596546,5,"事務所管轄","10","市民課","東京都八王子市万町","45",2,"2005",1,"2607",0
596548,5,"事務所管轄","10","市民課","東京都八王子市万町","45",2,"2005",2,"2627",0
596550,5,"事務所管轄","10","市民課","東京都八王子市万町","45",2,"2010",1,"3279",0
596552,5,"事務所管轄","10","市民課","東京都八王子市万町","45",2,"2010",2,"3167",0
596554,5,"事務所管轄","10","市民課","東京都八王子市万町","45",2,"2015",1,"4312",0
596556,5,"事務所管轄","10","市民課","東京都八王子市万町","45",2,"2015",2,"3994",0
596558,5,"事務所管轄","10","市民課","東京都八王子市万町","45",2,"2020",1,"5152",0
596560,5,"事務所管轄","10","市民課","東京都八王子市万町","45",2,"2020",2,"4601",0
596562,5,"事務所管轄","10","市民課","東京都八王子市万町","50",2,"1980",1,"0",0
596564,5,"事務所管轄","10","市民課","東京都八王子市万町","50",2,"1980",2,"0",0
596566,5,"事務所管轄","10","市民課","東京都八王子市万町","50",2,"1985",1,"0",0
596568,5,"事務所管轄","10","市民課","東京都八王子市万町","50",2,"1985",2,"0",0
596570,5,"事務所管轄","10","市民課","東京都八王子市万町","50",2,"1990",1,"0",0
596572,5,"事務所管轄","10","市民課","東京都八王子市万町","50",2,"1990",2,"0",0
596574,5,"事務所管轄","10","市民課","東京都八王子市万町","50",2,"1995",1,"0",0
596576,5,"事務所管轄","10","市民課","東京都八王子市万町","50",2,"1995",2,"0",0
596578,5,"事務所管轄","10","市民課","東京都八王子市万町","50",2,"2000",1,"3044",0
596580,5,"事務所管轄","10","市民課","東京都八王子市万町","50",2,"2000",2,"3564",0
596582,5,"事務所管轄","10","市民課","東京都八王子市万町","50",2,"2005",1,"2697",0
596584,5,"事務所管轄","10","市民課","東京都八王子市万町","50",2,"2005",2,"2999",0
596586,5,"事務所管轄","10","市民課","東京都八王子市万町","50",2,"2010",1,"2814",0
596588,5,"事務所管轄","10","市民課","東京都八王子市万町","50",2,"2010",2,"2801",0
596590,5,"事務所管轄","10","市民課","東京都八王子市万町","50",2,"2015",1,"3715",0
596592,5,"事務所管轄","10","市民課","東京都八王子市万町","50",2,"2015",2,"3522",0
596594,5,"事務所管轄","10","市民課","東京都八王子市万町","50",2,"2020",1,"4755",0
596596,5,"事務所管轄","10","市民課","東京都八王子市万町","50",2,"2020",2,"4332",0
596598,5,"事務所管轄","10","市民課","東京都八王子市万町","55",2,"1980",1,"0",0
596600,5,"事務所管轄","10","市民課","東京都八王子市万町","55",2,"1980",2,"0",0
596602,5,"事務所管轄","10","市民課","東京都八王子市万町","55",2,"1985",1,"0",0
596604,5,"事務所管轄","10","市民課","東京都八王子市万町","55",2,"1985",2,"0",0
596606,5,"事務所管轄","10","市民課","東京都八王子市万町","55",2,"1990",1,"0",0
596608,5,"事務所管轄","10","市民課","東京都八王子市万町","55",2,"1990",2,"0",0
596610,5,"事務所管轄","10","市民課","東京都八王子市万町","55",2,"1995",1,"0",0
596612,5,"事務所管轄","10","市民課","東京都八王子市万町","55",2,"1995",2,"0",0
596614,5,"事務所管轄","10","市民課","東京都八王子市万町","55",2,"2000",1,"2076",0
596616,5,"事務所管轄","10","市民課","東京都八王子市万町","55",2,"2000",2,"2878",0
596618,5,"事務所管轄","10","市民課","東京都八王子市万町","55",2,"2005",1,"3221",0
596620,5,"事務所管轄","10","市民課","東京都八王子市万町","55",2,"2005",2,"3735",0
596622,5,"事務所管轄","10","市民課","東京都八王子市万町","55",2,"2010",1,"2875",0
596624,5,"事務所管轄","10","市民課","東京都八王子市万町","55",2,"2010",2,"3149",0
596626,5,"事務所管轄","10","市民課","東京都八王子市万町","55",2,"2015",1,"3105",0
596628,5,"事務所管轄","10","市民課","東京都八王子市万町","55",2,"2015",2,"3058",0
596630,5,"事務所管轄","10","市民課","東京都八王子市万町","55",2,"2020",1,"4055",0
596632,5,"事務所管轄","10","市民課","東京都八王子市万町","55",2,"2020",2,"3824",0
596634,5,"事務所管轄","10","市民課","東京都八王子市万町","60",2,"1980",1,"0",0
596636,5,"事務所管轄","10","市民課","東京都八王子市万町","60",2,"1980",2,"0",0
596638,5,"事務所管轄","10","市民課","東京都八王子市万町","60",2,"1985",1,"0",0
596640,5,"事務所管轄","10","市民課","東京都八王子市万町","60",2,"1985",2,"0",0
596642,5,"事務所管轄","10","市民課","東京都八王子市万町","60",2,"1990",1,"0",0
