"CHIIKIKBN","JUSHOCD","CHIIKINAME","JUSHO","IDO","KEIDO"
"1","01702","子安町二丁目","東京都八王子市子安町二丁目","35.648944","139.34146"
"1","01703","子安町三丁目","東京都八王子市子安町三丁目","35.64941","139.337351"
"1","01704","子安町四丁目","東京都八王子市子安町四丁目","35.653866","139.33672"
"1","01800","東町","東京都八王子市東町","35.658276","139.339595"
"1","01900","旭町","東京都八王子市旭町","35.655908","139.338169"
"1","02000","三崎町","東京都八王子市三崎町","35.657133","139.336208"
"1","02100","中町","東京都八王子市中町","35.65838","139.336097"
"1","02200","南町","東京都八王子市南町","35.65851","139.333014"
"1","02300","寺町","東京都八王子市寺町","35.656331","139.3329"
"1","02400","万町","東京都八王子市万町","35.652071","139.332716"
"1","02500","上野町","東京都八王子市上野町","35.655149","139.327196"
"1","02600","天神町","東京都八王子市天神町","35.657417","139.33013"
"1","02700","南新町","東京都八王子市南新町","35.658767","139.330012"
"1","02800","小門町","東京都八王子市小門町","35.658809","139.324898"
"1","02901","台町一丁目","東京都八王子市台町一丁目","35.650673","139.32809"
"1","02902","台町二丁目","東京都八王子市台町二丁目","35.651314","139.321535"
"1","02903","台町三丁目","東京都八王子市台町三丁目","35.654659","139.320466"
"1","02904","台町四丁目","東京都八王子市台町四丁目","35.657563","139.319599"
"1","03000","中野町","東京都八王子市中野町","35.680598","139.320487"
"1","03101","暁町一丁目","東京都八王子市暁町一丁目","35.668622","139.335707"
"1","03102","暁町二丁目","東京都八王子市暁町二丁目","35.671856","139.336478"
"1","03103","暁町三丁目","東京都八王子市暁町三丁目","35.675318","139.335553"
"1","03201","中野山王一丁目","東京都八王子市中野山王一丁目","35.671279","139.328208"
"1","03202","中野山王二丁目","東京都八王子市中野山王二丁目","35.67461","139.330428"
"1","03203","中野山王三丁目","東京都八王子市中野山王三丁目","35.675285","139.321385"
"1","03301","中野上町一丁目","東京都八王子市中野上町一丁目","35.667665","139.327642"
"1","03302","中野上町二丁目","東京都八王子市中野上町二丁目","35.67001","139.323855"
"1","03303","中野上町三丁目","東京都八王子市中野上町三丁目","35.672913","139.320932"
"1","03304","中野上町四丁目","東京都八王子市中野上町四丁目","35.670398","139.315478"
"1","03305","中野上町五丁目","東京都八王子市中野上町五丁目","35.674254","139.316192"
"1","03401","大和田町一丁目","東京都八王子市大和田町一丁目","35.655395","139.356566"
"1","03402","大和田町二丁目","東京都八王子市大和田町二丁目","35.663686","139.358409"
"1","03403","大和田町三丁目","東京都八王子市大和田町三丁目","35.660039","139.353073"
"1","03404","大和田町四丁目","東京都八王子市大和田町四丁目","35.665477","139.3556"
"1","03405","大和田町五丁目","東京都八王子市大和田町五丁目","35.665378","139.351478"
"1","03406","大和田町六丁目","東京都八王子市大和田町六丁目","35.664803","139.346534"
"1","03407","大和田町七丁目","東京都八王子市大和田町七丁目","35.666963","139.34237"
"1","03500","富士見町","東京都八王子市富士見町","35.668506","139.348456"
"1","03600","緑町","東京都八王子市緑町","35.647626","139.325741"
"1","03700","清川町","東京都八王子市清川町","35.671757","139.310527"
"1","10100","東浅川町","東京都八王子市東浅川町","35.645253","139.292331"
"1","10200","初沢町","東京都八王子市初沢町","35.629477","139.275167"
"1","10300","高尾町","東京都八王子市高尾町","35.633017","139.257985"
"1","10400","南浅川町","東京都八王子市南浅川町","35.618761","139.249251"
"1","10500","西浅川町","東京都八王子市西浅川町","35.64246","139.272134"
"1","10600","裏高尾町","東京都八王子市裏高尾町","35.642825","139.242472"
"1","10700","廿里町","東京都八王子市廿里町","35.646792","139.274956"
"1","20100","並木町","東京都八王子市並木町","35.65321","139.303219"
"1","20201","散田町一丁目","東京都八王子市散田町一丁目","35.653867","139.315653"
"1","20202","散田町二丁目","東京都八王子市散田町二丁目","35.649957","139.314886"
"1","20203","散田町三丁目","東京都八王子市散田町三丁目","35.652892","139.311124"
"1","20204","散田町四丁目","東京都八王子市散田町四丁目","35.650995","139.307106"
"1","20205","散田町五丁目","東京都八王子市散田町五丁目","35.647977","139.301624"
"1","20300","山田町","東京都八王子市山田町","35.644213","139.315443"
"1","20401","めじろ台一丁目","東京都八王子市めじろ台一丁目","35.646098","139.308985"
"1","20402","めじろ台二丁目","東京都八王子市めじろ台二丁目","35.641614","139.310786"
"1","20403","めじろ台三丁目","東京都八王子市めじろ台三丁目","35.641282","139.304441"
"1","20404","めじろ台四丁目","東京都八王子市めじろ台四丁目","35.643721","139.303384"
"1","20500","長房町","東京都八王子市長房町","35.654616","139.29532"
